receipt_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
60189c990a7214ad28000041,5.0,All-receipts receipt bonus,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,5.0,2021-02-02,4.0,FINISHED,21.0,60189c94c8b50e11d8454f6b
6018a7070a7214ad28000055,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60189c920a7214ad2800003a,,,2021-02-02,2021-02-02,,2021-02-02,,,,0.0,FLAGGED,0.0,60189c92c8b50e11d8454f5d
5fb1bd510a7214ad890000e3,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-11-15,2020-11-15,,2021-02-02,2020-11-15,750.0,2020-11-14,11.0,REJECTED,1.0,5fb1bd519c09d811e5211cef
60189ca00a7214ad28000048,5.0,All-receipts receipt bonus,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,5.0,2021-02-01,1.0,FINISHED,1.0,54943462e4b07e684157a532
6018abb90a720f05f400006d,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60189c750a720f05f400005d,5.0,All-receipts receipt bonus,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,5.0,2021-02-01,2.0,FINISHED,11.0,54943462e4b07e684157a532
6018b1920a720f05f400006e,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60189c900a7214ad28000038,5.0,All-receipts receipt bonus,2021-02-02,2021-02-02,,2021-02-02,,5.0,2021-02-02,1.0,REJECTED,10.0,60189c90c8b50e11d8454f49
60189cc10a7214ad28000050,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,25.0,2021-01-26,1.0,FINISHED,10.0,60189c74c8b50e11d8454eff
6018ace50a7214ad28000057,,,2021-02-02,2021-02-02,,2021-02-02,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60189c7d0a7214ad28000030,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-02,2021-02-02,,2021-02-02,2021-02-02,500.0,2021-02-01,1.0,FLAGGED,1.0,60189c74c8b50e11d8454eff
